member_casual,month,number_of_rides,average_duration
casual,January,23964,18.177984795248427
casual,February,27051,15.020595517725777
casual,March,83064,21.459071288203475
casual,April,105528,22.416300134561446
casual,May,176162,25.086301528422702
casual,June,279570,26.495825594007464
casual,July,309293,25.485963413171326
casual,August,324165,24.59072305873038
casual,September,255223,22.427337533516443
casual,October,214849,21.327564740895543
casual,November,94930,18.763317016573616
casual,December,27173,17.528154074510237
member,January,109969,13.01759431354897
member,February,122118,10.214050561342308
member,March,208500,11.428492715347721
member,April,257962,11.510002164595301
member,May,314091,12.350052191509254
member,June,379609,13.18336030648202
member,July,430535,13.641262554689709
member,August,443214,13.360037185535656
member,September,441046,12.926537565658307
member,October,414231,12.612164645853804
member,November,252033,12.326695511698865
member,December,109411,12.240333258234243
