member_casual,day_of_week,number_of_rides,average_duration
casual,Sunday,318480,27.30008236163443
casual,Monday,220280,23.188409225455484
casual,Tuesday,218800,20.593069162248632
casual,Wednesday,212183,19.443115080692927
casual,Thursday,247670,20.65072500538351
casual,Friday,307148,23.492681626881286
casual,Saturday,396411,26.412935248769582
member,Sunday,374492,13.9333354193147
member,Monday,494937,12.231450851791912
member,Tuesday,558517,12.225515413377451
member,Wednesday,538722,12.08431945310692
member,Thursday,560394,12.203055864504854
member,Friday,517005,12.652987864076106
member,Saturday,438652,13.883803299274444
